Day,Grande_Comore,Moheli,Anjouan
252,80512.33935806887,80294.76702394229,80463.92288473423
253,81108.12599261435,80718.70771806831,81356.57508739732
254,81600.97021515865,81184.75885050705,82070.82487656106
255,81338.65157877844,80954.13766265273,81830.51395005257
256,81105.81854340632,80746.29667408574,81503.34216196033
257,80961.97900442865,80583.51180222003,81613.96310892
258,80876.81246488634,80486.57460103898,81468.20610488264
259,81016.07316117847,80491.87678780465,81561.42658399862
260,80829.72773209408,80386.97615318232,81350.5488133811
261,80664.4025272628,80343.84163984009,81338.04086783485
262,80530.13824498645,80281.7858833947,81166.93529694421
263,80607.28975319014,80221.75043468473,81031.45928857618
264,80583.36493798623,80266.80950175626,81051.9661724839
265,80645.52922812483,80212.8412585833,81189.74448030451
266,80723.85912273191,80201.10960664706,81507.1490221136
267,81886.02706631289,80663.90065564228,83064.84605325668
268,81985.45018933048,80632.0442892233,82829.14541501526
269,81785.90658541636,80634.54940576818,82303.4952233821
270,82417.966132163,80717.9859578608,82375.07455884444
271,82665.68139375182,81273.94563339652,82680.8626930118
272,82724.09366640144,81159.48218688423,82930.33454701176
273,83119.39927914512,81093.75071909983,83100.52205785725
274,82615.6979737666,80884.63767947002,82916.30343526351
275,82381.10678694675,80778.01679739845,82655.38749642935
276,82422.05234616494,80726.65644988026,82367.10431699012
277,82105.80996057909,80724.07147004137,82014.12505321005
278,81677.57396986155,80613.25784069503,81882.07293043108
279,81407.26257827732,80490.45974757342,81488.56052786605
280,81147.08739293944,80381.97043547519,81208.79554211431
281,80899.39702904056,80299.31516868898,81036.7452006364
282,80894.48622202774,80567.54201096554,81345.37573005109
283,80730.21545579143,80464.26723253906,81123.67984189454
284,80680.85935359455,80540.61039125665,81282.39754308194
285,80677.31037673906,80475.19848175517,81051.21962657412
286,80528.86707260985,80383.16854752456,80962.15117076048
287,80434.98879520985,80309.20019464128,81070.67561060745
288,81067.7785033555,80807.99079601894,85391.98485475463
289,82588.6144557426,81338.7621253458,84433.02700577649
290,82098.3421655155,81140.64120680842,83950.46325555594
291,81636.79193876548,80888.33226506591,83270.04689029703
292,81448.26466734403,80801.5524558999,83479.24660060686
293,81661.27667689517,80888.44654155581,83110.2582120325
294,81906.36079406452,81144.11036585977,82933.60301778885
295,81628.44183071038,80984.68506482137,82517.28962203977
296,81280.16768674355,80792.5816215925,81994.51508809943
297,81009.54360884223,80790.56347444889,81865.72950249564
298,80807.88632494066,80685.92971494571,81686.77657612745
299,80633.23765269776,80539.2524088163,81616.57498716496
300,80534.40609221587,80654.786348595,81812.63263677721
301,80475.79893982818,80589.13831835754,81584.21488116804
302,80965.43547022679,80534.33899213996,82620.95520792375
303,81947.61562372565,80958.53909299517,83151.4714885351
304,81862.10443813381,80861.50893495666,83212.75806300956
305,81510.11750038348,80731.77108618677,82608.45054774004
306,81184.19099223109,80596.53016419755,82087.39379705375
307,80983.2291496111,80464.57815900276,81647.24038328549
308,80977.29605253493,80409.3279524256,81652.12030553182
309,82794.27942721754,81602.35473699574,85183.5189065906
310,82272.74548818907,81292.67480068067,84524.6177794256
311,82166.7320752396,81342.54849105526,84431.36439212738
312,81727.08599170015,81105.71645875314,83549.39181071015
313,81616.4449371831,81232.75292936055,83271.54545811066
314,81377.86515953083,81221.51136630155,83049.03751969672
315,81120.1375099981,81080.08415556457,82465.03030866971
316,81037.24790736444,81016.30696747213,82807.69240423571
317,81437.58195998342,81253.09917464499,82885.34307395335
318,81173.37808053261,80983.25979620276,82327.06276543131
319,81535.5664573118,80897.74716145749,82062.43690789974
320,81845.94858790794,81017.30420247548,82272.95538181592
321,81635.18088161678,80844.15262717921,82133.07711812705
322,81650.99168112727,81027.44005488069,82294.30463495968
323,81641.72868460539,80853.88273140026,82038.68463239931
324,81376.28575133243,80742.12890595834,81931.65183257931
325,82585.1120563645,81703.8485959709,84090.41010424482
326,82675.50097292324,81364.6026566082,83459.52851152675
327,85886.72453122961,81697.19334338151,89528.28277477817
328,85857.67330105191,81737.46665661642,89466.80166808509
329,84566.78082671648,81353.14039273332,87397.54252710186
330,83686.91287627956,81054.28587107395,85890.90020708463
331,82981.85435008103,80844.72095276979,84694.49579579402
332,82338.41459138524,80657.86933949393,83769.00910938263
333,81839.75159602804,80512.57869356038,83074.33003665392
334,81669.52894067795,80414.34611698447,82870.579507949
335,82123.27291268855,80363.32109465107,82778.38759749015
336,82072.20522502554,80392.67334525958,82703.83402378576
337,82744.68637222185,80382.02052765671,82407.05336620292
338,82182.24706045406,80298.89510691148,81949.59706908358
339,81748.6565955602,80234.61603774966,81589.81018234046
340,82495.38437561078,80732.00072552694,85671.49575671481
341,91448.52635310323,85883.85974731238,90218.12549241439
342,90304.58941528224,85045.55984885289,88492.55186344234
343,88068.60476177825,83933.84716059337,86740.71035724708
344,86887.28796408091,83508.52557500926,86596.59246965706
345,86295.1325851406,83138.72260805285,86480.98680615758
346,86142.7650257644,82603.27909325776,87278.03625949826
347,84797.60939598389,82028.5834804018,85692.70077613098
348,83771.19503637982,81583.0759183165,84446.63993232924
349,83490.88195513094,81282.48071447738,83932.44942520217
350,83103.86435712146,81238.43340792546,83455.71472445849
351,82728.39087335455,81355.85315843366,84203.80784629694
352,82529.85238294785,81486.32100873151,85384.21370488117
353,82251.96918748334,81221.12966016127,84340.66898992311
354,81903.11080143334,80970.29782708848,83539.96797481176
355,81594.31116724129,80761.17759084133,83231.07635531151
356,81586.79762622528,80852.18229215099,83539.79289176692
357,81727.31404318495,80844.0961642707,83404.08726286783
358,82212.04101303773,81222.96143840115,83672.0855294773
359,82684.9575548674,81334.62210429857,83953.56595619411
360,83839.35236888054,84784.75676830723,97073.44011956574
361,84245.19787480783,85475.67230008355,96586.5300075789
362,83618.02743335383,84459.5641584176,93367.11213254061
363,82966.7684962346,83476.09603718283,90863.49955928828
364,83301.73805933933,83362.28435396936,90098.55310819129
365,83458.70895751554,82724.1366175498,88392.6192051282
366,84413.64102802436,83462.05466540904,89270.87989000975
367,92320.26837317298,89794.44700662802,93401.67115797412
368,93248.34242670934,88690.90793712976,92645.91163118162
369,92868.81498200941,88194.36853253708,91244.91825881868
370,93220.76203453302,87347.67150050466,89636.60059200884
371,93670.07176824147,88444.90834877636,93871.80744004909
372,91610.54671071094,86877.59444803314,93570.44066730421
373,89957.54261939562,85390.70646235286,90847.09796138725
374,89727.19872037547,84254.7524679349,91796.82337904748
375,88279.61587018696,83779.33472880871,91747.85833227297
376,88922.50155643713,84542.99083229646,90834.65350696832
377,89243.53062716973,83756.14478133357,89460.69960894159
378,88071.56781901144,84069.07039060285,89853.73082497653
379,86288.28568156263,83197.68730705508,88403.25519622125
380,84904.2079170931,82516.98764799826,86973.92508716411
381,84759.04812885966,83011.74004966622,88607.70512287051
382,87582.99748960612,83305.00934916895,90829.91758836489
383,91494.48299527381,83288.4919395675,94122.04076094762
384,91608.87737451972,84142.12960255882,94430.90279245954
385,91835.76640123168,84965.782751218,95396.55154781541
386,90294.53780064473,84910.60026869668,97242.0363759187
387,93359.71018550845,88103.40443193151,101167.70989569966
388,92135.48979189289,88960.48104394102,100682.12693960589
389,89479.82105336213,86978.42965371774,96120.8758398422
390,87388.86001663526,85435.49508933563,92560.07704981859
391,85771.12964137342,84240.28347287464,89852.18912834905
392,85553.71960912725,85480.18128402194,89984.32822286733
393,85632.83583979699,85827.6720575114,89419.59220302891
394,86740.22130052416,88752.4322069005,91481.11441234122
395,90522.97420758063,91541.18662690467,93962.31242994989
396,89330.3600481285,89389.74505253538,91722.68695455961
397,90062.78556855541,89264.26270606447,91304.49899636437
398,91042.23372186112,89451.8512035534,92675.47342882161
399,94596.1197331477,90070.10247780668,94438.4563692434
400,97349.04556170208,92538.46762843156,97108.42831779017
401,108059.33987229597,97660.8049230785,103148.232575677
402,107149.5036628572,96667.07074458609,101268.30922883542
403,103042.40059271763,93211.24177206046,97961.42548064754
404,100637.82982231343,94572.54127082316,96813.89377249833
405,100605.88036569086,97652.87579711367,98831.027901447
406,102111.70253644364,103371.17445874523,101293.49448677487
407,99855.92329539423,103920.8575112304,101353.62403817986
408,97536.37292526328,102028.56355285537,99885.51007450813
409,99707.31901769635,99694.31005864839,98805.1113664846
410,101120.39051410186,98121.99598958934,99957.29966032761
411,100979.63317910052,97533.06397122494,99034.47446357775
412,101691.82952641945,103827.37602333212,102206.2732783854
413,101528.19142790612,106444.12275930605,103240.71997103821
414,97222.64453274856,101015.21493723203,98437.38652651117
415,93997.18021445621,96422.67282966891,94589.12345435993
416,92108.99059819005,94088.02108562767,92179.47784134882
417,90418.57078836902,91479.7268003272,89947.13841731595
418,88941.1652172641,89973.79491246081,88734.23000660811
419,90420.89934912678,89092.71525662809,89240.59463594119
420,94737.09972945308,89491.55020250307,93983.90911601078
421,94728.88317279918,88990.75056906685,94406.03552086873
422,96246.22592824876,91223.64447994702,95004.6466645836
423,96000.21473445091,93269.0556393919,94601.20705455485
424,95234.54947765492,92573.31198090994,94344.39217130424
425,96433.30309444484,94890.1176299805,95503.62497923955
426,100314.45196038061,97896.0728518411,101127.09030574358
427,104261.51495774879,100930.31428012233,107908.90518239686
428,105646.71193275934,103802.0374378209,110210.97066823897
429,106902.63032190781,108460.61003599668,114001.17382610502
430,101045.97616322763,102233.08827666288,107138.75840362317
431,96401.48745847258,97315.60563356841,101205.61850923285
432,93083.51898592392,93531.77366115585,97072.19114797714
433,92059.79722158224,90738.48247980412,95664.04355234902
434,91987.55216095113,89630.18172150668,94780.9228420396
435,91453.00946420892,89830.25069848631,95564.55516623268
436,93925.6574066221,91397.71591808676,96346.84821230383
437,94352.32920677513,91249.7310972078,97233.68515729459
438,95006.8912114503,90074.24990585427,95699.68376162279
439,94212.742542872,90798.82469703082,95796.14679508157
440,95117.2356314344,91327.08683358891,95631.10027198459
441,94102.34838400586,89316.88451861915,96959.20246776789
442,92800.69842654362,87553.70619347629,94214.0529979624
443,90354.05066623692,87848.81502352211,93242.78750291732
444,88947.07690029837,88175.28100587275,95100.1772724822
445,87619.7985068106,86741.748849885,93413.00092109795
446,86942.58371098332,85651.70961668613,92146.00518998108
447,88712.9082164641,84632.92897344535,93488.07182200508
448,90055.21848807928,84580.67615033413,93081.1480325539
449,89128.66009688651,84173.18179822955,90800.08903615829
450,88118.91049516798,83870.2856963557,89373.33608032853
451,89603.70687644384,84165.53813912954,89241.15422948725
452,89067.00399570598,84371.60914516544,88154.87523286276
453,89103.19619445635,86175.35138477676,91491.72947616546
454,89645.92770914173,86589.42640804042,91523.5640964213
455,88026.80105528727,85319.38201531646,90468.7688228439
456,88505.17733665991,86123.64149618593,91296.36234890817
457,90358.32605627824,89114.91709971757,92323.83673615697
458,90369.47961106195,87609.88303705875,90374.18368344245
459,89001.48077105386,86388.86999129147,88974.61591139573
460,87684.35684166233,85439.09175912674,88145.3852437347
461,86737.23430550177,84756.09931872293,87843.50239484453
462,89277.32357934571,85611.04564014952,90064.7456459701
463,90414.67727012633,86397.61486358418,90381.9291139271
464,91432.43287734757,88515.49795036504,90453.20316767026
465,90827.33563033312,87785.98752173106,89526.21742380408
466,89413.0717180516,86438.337242787,87511.91148265725
467,88201.69374665427,85217.32215776511,85853.6490848463
468,86570.19680826859,84447.72872844736,87450.3781214349
469,89579.14639827074,88349.58548649207,91853.48605043993
470,88897.07059594453,87460.29126085226,90285.23117240323
471,87855.91516109825,86942.84480287854,88896.23466625629
472,87510.41010680719,86046.12343113571,87775.23230612773
473,87351.7377026207,85517.61335947247,87440.61161979234
474,86485.91799861446,85140.21028557325,86699.74126132611
475,86282.39691982641,85224.33559202336,85968.73165061674
476,85782.03773109827,84948.30168243815,85242.34110726412
477,85033.59157868662,83950.14668277223,84958.4987784098
478,84001.49760397265,83103.00359903621,83942.40317417044
479,83861.90500632803,82852.97109691636,84102.03810025244
480,83561.14438941925,82501.47195144446,84162.55067422113
481,84259.59633175285,84467.08520003551,85265.62372417876
482,83799.48075908433,83919.680115221,84787.56948459272
483,84068.38996343323,86206.25609118049,85600.12944991187
484,88692.95708435655,92631.49094085465,87294.71252952419
485,91230.67049366602,95876.06927170964,89424.18449061085
486,90661.1744803096,95889.7509511928,87964.36144116925
487,88868.1271570658,92692.39988331926,86392.86042516772
488,87001.76214789624,89889.21216745755,85108.52951162844
489,85837.14594103361,88319.18018232423,84428.11287046838
490,85030.52602270053,86955.04337168536,84721.55237291807
491,84016.78448046636,85445.05578784121,83709.43686241577
492,83212.51490582821,84266.7809070768,83002.5330511077
493,83386.16140497502,83571.56067019208,83054.60643167174
494,83607.93280953856,83599.60341564412,83663.57085982585
495,83106.72849698005,82932.83271621999,83861.16447243105
496,83073.54945266701,82447.98169395648,83177.92980902707
497,82640.28176014562,82001.74783379438,82841.46798729232
498,82325.65319777925,81687.96246423268,82414.70034415729
499,81904.33596167702,81366.00273300134,82564.28414530541
500,81955.33205596679,81087.25675213154,82102.19435654348
501,81773.85088749247,81006.74356224123,82120.9011690184
502,82019.66528719428,80948.17148937634,81730.33759043229
503,81815.4607966076,80862.38657248978,81523.03090081378
504,83173.12886698649,82321.30834721528,82377.2806456269
505,83081.72663236121,82355.97064614862,82255.33629089789
506,82724.38661833105,82207.37001675784,82270.84964686226
507,82183.27029517654,81774.19033050268,81917.73840571445
508,82093.45264826238,81557.79554726402,81848.47658311228
509,82050.43491283007,81709.47096199206,81875.17935185108
510,82393.67907417065,81549.85636109981,81803.24262030075
511,82330.7709473392,81496.93433093178,81791.67186511618
512,81983.15066709608,81201.16229692861,81795.89717427289
513,81578.75678852419,80940.5159471285,81497.95904943734
514,81466.11295568048,80981.06291468136,81606.55722141788
515,82288.65230224376,81006.67296786269,81585.69965756261
516,82840.79840770515,81388.8271738057,82163.80306792758
517,82902.86273044122,81487.67029651647,82047.99269832882
518,83308.96983851872,82112.09467506045,82377.62230603409
519,83095.01635541327,82316.9847485227,82383.30135149755
520,84654.12341882125,83805.3418556502,82760.64499053538
521,85588.78139360962,83567.51454795682,83162.86188352095
522,84964.33942027888,83102.71862740352,82806.77939472416
523,84203.1149437252,82515.10052232641,82294.4928987396
524,83347.07052354727,82091.20499211096,81975.24955771284
525,83643.74842451558,82100.33021732488,82510.720315673
526,83052.83011153278,81842.78101503136,82446.94226949221
527,84042.30040748164,82190.10584538904,82392.45160430306
528,84039.66766889917,82197.7830548467,82762.41535582919
529,84018.64224757814,82268.03237666134,83025.90646494615
530,83842.35699297537,81920.1350495528,82694.45649966401
