Day,Grande_Comore,Moheli,Anjouan
1652,62895.69734,62198.02132,62751.94385
1653,62255.53202,61711.82073,62143.21602
1654,65356.01715,63791.17584,63239.71032
1655,65356.04512,65303.07838,64000.57648
1656,64585.60264,64179.49791,63131.77457
1657,63645.29681,63300.30652,62441.66487
1658,62928.85502,62570.2813,61924.08113
1659,62578.63092,62003.51397,61719.42472
1660,62350.14738,62131.30697,61575.95782
1661,62275.71423,62581.17251,61652.01698
1662,62376.16643,62840.61145,61781.52154
1663,62339.88848,62505.75072,61523.12249
1664,62242.83891,62088.29989,61512.71437
1665,63969.21428,63155.0732,62743.30098
1666,63870.07684,62990.23557,63267.99848
1667,63239.97364,62752.58216,63094.90616
1668,63636.20686,63677.74737,63218.06126
1669,63940.19517,63744.08113,63592.51812
1670,64734.34466,63602.65497,63633.89222
1671,64330.62256,63046.51689,62872.36157
1672,63743.18231,62741.62716,62394.57177
1673,63372.1521,62608.42206,62646.27651
1674,63203.74477,62406.36147,62433.46283
1675,63258.96111,62065.09012,62185.99562
1676,63023.53256,61749.55525,62288.03541
1677,62594.65994,61384.76592,61813.25611
1678,62086.81451,61138.57434,61428.69335
1679,62573.21292,61427.78061,61614.69487
1680,62340.60807,61644.42645,61758.43761
1681,62197.95591,61508.41658,61868.25519
1682,62795.28868,61555.30311,62323.38124
1683,62834.09923,61451.14922,62529.28396
1684,63004.71261,61202.41568,62462.20278
1685,62415.4509,60936.44227,62054.45435
1686,62149.93843,60846.27949,61892.95291
1687,62310.85205,60903.10711,61541.15667
1688,61878.04721,60728.5129,61397.17124
1689,61545.66707,60573.28933,61431.6585
1690,61203.76672,60446.47818,61121.36491
1691,61098.53006,60350.97516,61100.75825
1692,61272.73188,60669.58255,61778.483
1693,61137.09237,60546.34764,61474.82223
1694,60886.74058,60425.49597,61159.44242
1695,60709.25852,60355.66053,60903.88726
1696,60576.71578,60277.58099,60704.0495
1697,60449.23686,60216.1803,60553.28286
1698,61034.85338,60876.44552,61953.60872
1699,61144.5161,60781.78524,62647.50997
1700,61316.93123,60812.30699,62997.59453
1701,62686.38555,62580.96725,63452.6578
1702,63782.67227,63201.15694,64016.14655
1703,62999.50643,62493.35967,63132.44244
1704,62339.89508,61941.83047,62523.50715
1705,61828.71387,61521.18346,62599.56126
1706,61716.34004,61473.14469,62460.45545
1707,61804.28529,61342.15004,62436.17966
1708,61673.33101,61059.18635,62220.35644
1709,61720.02664,61045.52363,61797.25419
1710,61620.96464,61195.69016,61618.21821
1711,61849.83681,61013.53291,62740.90054
1712,61670.30591,60818.95479,62681.3599
1713,61515.79012,60734.64224,62523.5519
1714,61677.67114,60615.37721,62314.1574
1715,61329.02281,60479.25625,61817.07187
1716,61490.37981,60656.65649,62471.41233
1717,61488.46058,60847.82599,62708.04657
1718,61449.72753,60738.76613,62569.1783
1719,61275.02689,60615.3313,62250.72567
1720,61144.10933,60650.6888,61946.94496
1721,61352.68064,60784.24538,62621.33059
1722,61153.82295,60680.95743,62133.26058
1723,61268.45713,60838.02546,61934.25022
1724,62852.13743,62330.31973,63621.68402
1725,63214.78059,62582.16809,63457.35725
1726,63220.21893,62187.79346,63324.71506
1727,62540.6391,61728.1392,62654.89597
1728,62175.75352,61501.9449,62787.97488
1729,61959.20447,61175.93492,62575.65698
1730,61699.03792,60930.33017,62334.15284
1731,61605.33993,60802.7243,62529.86515
1732,61438.77607,60877.47837,62085.55183
1733,61250.08777,60995.22216,62475.27277
1734,63680.33786,62021.2605,71206.47976
1735,65127.96159,62506.72177,70630.26955
1736,64613.4582,62125.48206,68430.75823
1737,64438.44682,61802.8076,67090.5205
1738,63789.91757,61417.05838,65900.22049
1739,62951.68094,61103.60618,64601.89008
1740,63889.7418,61685.1433,65407.61997
1741,63133.83578,61346.44767,64231.23151
1742,62765.13942,61059.57188,63586.20068
1743,62229.14161,60884.12839,63373.24344
1744,61881.2237,60955.38707,63749.37083
1745,61686.18431,60797.06626,63402.16607
1746,61654.92894,60687.98088,63085.11911
1747,61348.18885,60541.42682,62436.45911
1748,61498.3636,60441.50538,61971.13207
1749,61273.86304,60374.34774,61655.07444
1750,61087.02981,60400.52389,61543.78942
1751,61198.31531,60582.30926,61538.34132
1752,60935.95387,60453.50291,61634.68632
1753,60733.42988,60358.81518,61301.79096
1754,60620.87696,60279.44555,61063.82562
1755,60969.62171,60339.05211,61392.3891
1756,60815.73337,60298.11079,61817.61124
1757,61523.7847,61281.11665,63271.66917
1758,61604.46151,61103.45863,62985.8202
1759,61253.52316,60859.96674,62459.10464
1760,61025.92601,60670.03891,62180.71709
1761,60938.0272,60653.61162,62269.1202
1762,61268.82439,60859.07735,63170.25313
1763,61284.62562,60777.73555,63255.24492
1764,61146.35523,60682.69891,62692.45743
1765,60897.65129,60533.46332,62325.84732
1766,60885.55379,60434.11883,62211.8985
1767,61321.82036,60566.42034,62695.04648
1768,61414.26112,60573.80184,62761.041
1769,61501.31169,60549.04755,62842.55314
1770,61767.1102,61136.2751,63363.24379
1771,61504.80282,61137.24799,62945.59948
1772,62059.62103,61154.29369,63477.26229
1773,63066.87966,62401.01533,65507.92894
1774,63137.94398,62925.07941,65256.21782
1775,62673.75527,62494.83272,65146.07011
1776,62215.13649,61968.4462,64311.6568
1777,62539.70523,62010.11801,64246.88836
1778,62119.84493,61778.11402,64464.4447
1779,62989.98484,61716.18353,64942.23268
1780,66142.78382,62236.25542,68244.16243
1781,68873.91226,84301.08119,71059.97854
1782,72240.33229,84447.92815,70781.53596
1783,69900.56547,79094.55638,69371.92603
1784,67721.56833,74870.85546,67307.68506
1785,66349.88081,71645.10518,66692.34502
1786,65766.60975,69111.26971,65990.74929
1787,64816.9885,67585.68881,65626.76313
1788,66421.90624,67281.85599,66839.94242
1789,67043.81468,66289.76332,67524.37429
1790,65736.118,64898.4726,65884.93279
1791,64688.55935,63814.93429,64619.28837
1792,64023.29624,63030.30294,63636.44269
1793,63284.55382,62530.58217,62850.72187
1794,63356.69915,62615.23221,63635.87987
1795,62620.87217,62036.74489,62857.78708
1796,62059.1704,61586.21852,62309.60534
1797,61666.79938,61235.34822,61810.78895
1798,62678.26808,61041.75333,62206.02467
1799,63681.40609,60973.30996,62736.40577
1800,63004.40402,60761.5683,62380.25276
1801,62813.47161,60597.84832,62450.67973
1802,64035.64967,61827.57838,63299.68673
1803,63980.87519,61606.6336,63712.26325
1804,63779.07465,61723.59974,63919.09848
1805,64053.35419,61838.38472,63920.9852
1806,64008.90962,61815.24402,63785.97127
1807,63200.58595,61831.57491,63324.09998
1808,63386.51968,61549.92469,63293.43461
1809,63751.59935,62145.56798,63505.20411
1810,63344.62474,62068.39743,63731.67967
1811,63437.38466,61673.35626,63028.62387
1812,63801.7624,62789.8621,63877.65446
1813,65174.19841,62692.48232,64252.63024
1814,65459.06356,64388.18588,65241.88248
1815,65376.24751,64430.93286,67533.19931
1816,64403.69349,63453.77544,66124.21265
1817,64040.11058,62714.67925,64822.97898
1818,63867.58501,62394.64421,64424.15765
1819,64596.64686,64965.00297,68337.33841
1820,66391.14253,68002.42157,70742.0558
1821,66713.92431,67785.27974,69800.11157
1822,66915.62582,66783.11192,69145.41323
1823,65788.93462,65410.03548,67275.87195
1824,67154.87462,65982.21757,69441.95209
1825,66063.44364,65272.27327,68308.27582
1826,64837.53634,64238.72378,66764.54936
1827,64425.23446,66928.60891,67751.50242
1828,67924.53615,68303.26745,69670.82021
1829,74059.04303,70874.12622,77465.11228
1830,83243.44097,75734.41428,78035.82676
1831,79522.38726,73468.76343,77201.1489
1832,75888.58702,71250.57771,75204.72273
1833,80682.43484,76755.52089,77492.22384
1834,99331.06549,100819.9707,81392.56891
1835,91806.91298,92159.91872,77597.5793
1836,84903.6117,85047.35446,73788.66287
